repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,4,2,val,z0,horizontal_stiffness,-0.9262310237063476,0.8579039092761086,25
1,4,2,val,z0,vertical_stiffness,-0.9224320578204358,0.8508809012948438,25
1,4,2,val,z0,diagonal_stiffness,0.266624406625483,0.07108857420839089,25
1,4,4,val,z0,final_p_ratio,-0.943563490240102,0.890312060114083,25
1,4,4,val,z0,stiffness_mean,0.9426432382987481,0.8885762747103504,25
1,4,4,val,z0,stiffness_std,0.9516449736749013,0.9056281559207036,25
1,4,4,val,z0,horizontal_stiffness,0.9241814772904545,0.8541114029667669,25
1,4,4,val,z0,vertical_stiffness,0.8978925632462919,0.8062110551329962,25
1,4,4,val,z0,diagonal_stiffness,-0.5833178930535957,0.34025976435648614,25
2,1,1,val,z0,final_p_ratio,0.9200332273817262,0.8464611394864351,25
2,1,1,val,z0,stiffness_mean,-0.9572310446305312,0.916291272804458,25
2,1,1,val,z0,stiffness_std,-0.930419769869641,0.8656809481642758,25
2,1,1,val,z0,horizontal_stiffness,-0.9374936328898843,0.8788943117090732,25
2,1,1,val,z0,vertical_stiffness,-0.8881749892353764,0.788854811503261,25
2,1,1,val,z0,diagonal_stiffness,0.20732367171896754,0.04298310485503422,25
2,1,2,val,z0,final_p_ratio,-0.7708733739211378,0.5942457586205583,25
2,1,2,val,z0,stiffness_mean,0.8864238731457382,0.7857472828826918,25
2,1,2,val,z0,stiffness_std,0.8604368663467306,0.7403516009685814,25
2,1,2,val,z0,horizontal_stiffness,0.8170035043234676,0.6674947260768263,25
2,1,2,val,z0,vertical_stiffness,0.8292281782362456,0.6876193715810027,25
2,1,2,val,z0,diagonal_stiffness,-0.037082936656402235,0.0013751441910627405,25
2,1,4,val,z0,final_p_ratio,0.8629939293973125,0.7447585221766135,25
2,1,4,val,z0,stiffness_mean,-0.980774478038882,0.9619185767724413,25
2,1,4,val,z0,stiffness_std,-0.8860114943136879,0.7850163680559742,25
2,1,4,val,z0,horizontal_stiffness,-0.9395440165975301,0.8827429591242199,25
2,1,4,val,z0,vertical_stiffness,-0.9124234962529532,0.8325166365144628,25
2,1,4,val,z0,diagonal_stiffness,0.09498488422799826,0.009022128231806233,25
2,2,1,val,z0,final_p_ratio,0.8764741925644134,0.7682070102314404,25
2,2,1,val,z0,stiffness_mean,-0.9760793061027239,0.9527308118019749,25
2,2,1,val,z0,stiffness_std,-0.9383938291226362,0.8805829785354434,25
2,2,1,val,z0,horizontal_stiffness,-0.9090124333209729,0.8263036039321162,25
2,2,1,val,z0,vertical_stiffness,-0.9404667161282972,0.8844776441451432,25
2,2,1,val,z0,diagonal_stiffness,0.533232600010354,0.28433700571380216,25
2,2,2,val,z0,final_p_ratio,0.6114317260090747,0.3738487555704362,25
2,2,2,val,z0,stiffness_mean,-0.7124878401215136,0.5076389223210195,25
2,2,2,val,z0,stiffness_std,-0.6851953768806885,0.4694927044986688,25
2,2,2,val,z0,horizontal_stiffness,-0.6493787178743221,0.4216927192280984,25
2,2,2,val,z0,vertical_stiffness,-0.6720386426306035,0.45163593718878403,25
2,2,2,val,z0,diagonal_stiffness,0.35968046227047573,0.12937003493910312,25
2,2,4,val,z0,final_p_ratio,-0.8771614499844363,0.7694122093387988,25
2,2,4,val,z0,stiffness_mean,0.9812760827284519,0.9629027505348956,25
2,2,4,val,z0,stiffness_std,0.9309351861842128,0.8666403208758349,25
2,2,4,val,z0,horizontal_stiffness,0.934112930034915,0.872566966058414,25
2,2,4,val,z0,vertical_stiffness,0.9469821441472123,0.8967751813336515,25
2,2,4,val,z0,diagonal_stiffness,-0.41443256140012774,0.17175434794867064,25
2,4,1,val,z0,final_p_ratio,-0.7189670982868295,0.5169136884189836,25
2,4,1,val,z0,stiffness_mean,0.8757973506605264,0.7670209994239972,25
2,4,1,val,z0,stiffness_std,0.7600601288254707,0.5776913994301911,25
2,4,1,val,z0,horizontal_stiffness,0.8138851278815469,0.662409001386762,25
2,4,1,val,z0,vertical_stiffness,0.827263503072057,0.6843649035150512,25
2,4,1,val,z0,diagonal_stiffness,0.2983278056731474,0.08899947963775519,25
2,4,2,val,z0,final_p_ratio,-0.5850773512920807,0.34231550699495683,25
2,4,2,val,z0,stiffness_mean,0.685750337685359,0.47025352563558387,25
2,4,2,val,z0,stiffness_std,0.6640851350358331,0.4410090665755607,25
2,4,2,val,z0,horizontal_stiffness,0.6324538145250344,0.39999782750726653,25
2,4,2,val,z0,vertical_stiffness,0.6469176579442162,0.4185024561600299,25
2,4,2,val,z0,diagonal_stiffness,-0.34474250480051044,0.11884739461612996,25
2,4,4,val,z0,final_p_ratio,-0.2792618646572714,0.07798718905185616,25
